melody_id,melody_degree,note_onset,note_midi_value,note_velocity,participant_id,bar_number
18,4,1200,74,80,10,4
18,5,1440,70,80,10,4
18,6,1680,70,80,10,4
18,7,1920,70,80,10,4
18,8,2640,69,80,10,4
18,9,2880,76,80,10,4
18,10,3360,84,80,10,4
18,11,3840,74,80,10,4
18,12,4320,77,80,10,4
18,13,4800,65,120,10,4
19,1,0,70,80,10,4
19,2,240,70,80,10,4
19,3,480,70,80,10,4
19,4,513,72,80,10,4
19,5,548,74,80,10,4
19,6,1200,70,80,10,4
19,7,1440,69,80,10,4
19,8,1680,69,80,10,4
19,9,1920,69,80,10,4
19,10,1953,70,80,10,4
19,11,1988,72,80,10,4
19,12,2640,69,80,10,4
19,13,2880,69,80,10,4
19,14,3120,67,80,10,4
19,15,3360,67,80,10,4
19,16,3960,65,80,10,4
19,17,4080,64,80,10,4
19,18,4320,65,80,10,4
19,19,4560,65,80,10,4
20,1,0,52,80,11,4
20,2,120,53,80,11,4
20,3,240,55,80,11,4
20,4,360,57,80,11,4
20,5,480,58,80,11,4
20,6,600,55,80,11,4
20,7,720,57,80,11,4
20,8,840,55,80,11,4
20,9,960,53,80,11,4
20,10,1080,52,80,11,4
20,11,1200,53,80,11,4
20,12,1320,62,80,11,4
20,13,1440,60,80,11,4
20,14,1560,59,80,11,4
20,15,1680,57,80,11,4
20,16,1800,55,80,11,4
20,17,1920,60,80,11,4
20,18,2040,52,80,11,4
20,19,2160,43,80,11,4
20,20,2280,53,80,11,4
20,21,2400,52,80,11,4
20,22,2520,50,80,11,4
20,23,2640,52,80,11,4
20,24,2760,48,80,11,4
21,1,0,74,80,12,4
21,2,240,69,80,12,4
21,3,480,79,80,12,4
21,4,960,79,80,12,4
21,5,1080,77,80,12,4
21,6,1200,76,80,12,4
21,7,1320,77,80,12,4
21,8,1440,74,80,12,4
21,9,1920,73,80,12,4
21,10,2160,70,80,12,4
21,11,2400,73,80,12,4
21,12,2880,77,80,12,4
21,13,3360,70,80,12,4
21,14,4080,70,80,12,4
21,15,4320,76,80,12,4
21,16,4800,69,80,12,4
21,17,5520,69,80,12,4
22,1,0,74,80,12,4
22,2,120,72,80,12,4
22,3,240,70,80,12,4
22,4,360,72,80,12,4
22,5,480,70,80,12,4
22,6,840,74,80,12,4
22,7,960,76,80,12,4
22,8,1080,79,80,12,4
22,9,1200,77,80,12,4
22,10,1320,81,80,12,4
